exam_type,category,prompt,choice1,choice2,choice3,choice4,correct_answer,model_answer,key_points,explanation,difficulty,image_url,tags,source,source_year,reference_text,code_snippet,code_language,image_urls,certificate_id
WRITTEN_CBT,컴퓨터 프로그래밍,객체지향 개념에서 다음 설명에 해당하는 것은?,메시지,클래스,프레임,추상화,2,,,,medium,/questions/computer-system-engineer/a/20220305/q019-1.png,컴퓨터시스템기사|필기|기출|A계보|전자계산기 프로그래밍,전자계산기조직응용기사 2022-03-05 19번,2022,,,,,computer-system-engineer
WRITTEN_CBT,컴퓨터 프로그래밍,C 언어의 기억 클래스 종류에 해당하지 않는 것은?,Internal Variables,Automatic Variables,Register Variables,Static Variables,1,,,,medium,,컴퓨터시스템기사|필기|기출|A계보|전자계산기 프로그래밍 2과목 : 자료구조 및 데이터통신,전자계산기조직응용기사 2014-03-02 16번,2014,,,,,computer-system-engineer
WRITTEN_CBT,컴퓨터 프로그래밍,C 언어에서 이스케이프 시퀀스의 설명이 옳지 않은 것은?,＼r:carriage return,＼f:fault,＼t:tab,＼b:backspace,2,,,,medium,,컴퓨터시스템기사|필기|기출|A계보|전자계산기 프로그래밍,전자계산기조직응용기사 2019-03-03 2번,2019,,,,,computer-system-engineer
WRITTEN_CBT,컴퓨터 프로그래밍,어셈블리어에 대한 설명으로 옳지 않은 것은?,기억장치의 제어가 가능하다.,최적의 실행시간을 고려한 프로그램 작성이 가능하다.,오류 검증이 용이하며 호환성이 우수하다.,기호를 정하여 명령어와 데이터를 기술한다.,3,,,,medium,,컴퓨터시스템기사|필기|기출|A계보|전자계산기 프로그래밍,전자계산기조직응용기사 2017-03-05 12번,2017,,,,,computer-system-engineer
WRITTEN_CBT,컴퓨터 프로그래밍,어셈블러(Assembler)를 가장 바르게 설명한 것은?,고급언어로 작성된 원시 프로그램을 컴퓨터가 이해할 수 있는 기계어 명령으로 번역하여 목적 프로그램을 생성시 키는 프로그램,저급언어로 작성된 원시 프로그램을 컴퓨터가 이해할 수 있는 기계어 명령으로 번역하여 목적 프로그램을 생성시 키는 프로그램,컴퓨터가 적접 실행할 수 있는 제어 신호를 2진수 형태로 표기해 놓은 언어,기계어 명령들로 표현된 프로그램,2,,,,medium,,컴퓨터시스템기사|필기|기출|A계보|전자계산기 프로그래밍,전자계산기조직응용기사 2011-03-20 5번,2011,,,,,computer-system-engineer
WRITTEN_CBT,컴퓨터 프로그래밍,C 언어에서 논리 곱(AND)을 나타내는 논리 연산자는?,∥,!,&&,＞,3,,,,medium,,컴퓨터시스템기사|필기|기출|A계보|전자계산기 프로그래밍 2과목 : 자료구조 및 데이터통신,전자계산기조직응용기사 2018-08-19 13번,2018,,,,,computer-system-engineer
WRITTEN_CBT,컴퓨터 프로그래밍,원시프로그램을 번역할 때 어셈블러에게 요구되는 동작을 지 시하는 명령으로서 기계어로 번역되지 않는 명령어를 무엇이 라고 하는가?,매크로명령(macro instruction),기계어 명령(machine instruction),의사 명령(pseudo instruction),오퍼랜드 명령(operand instruction),3,,,,medium,,컴퓨터시스템기사|필기|기출|A계보|전자계산기 프로그래밍,전자계산기조직응용기사 2013-08-18 4번,2013,,,,,computer-system-engineer
WRITTEN_CBT,컴퓨터 프로그래밍,단항(Unary) 연산자 연산에 해당하지 않는 것은?,Move,Shift,Or,Complement,3,,,,medium,,컴퓨터시스템기사|필기|기출|A계보|전자계산기 프로그래밍,전자계산기조직응용기사 2011-03-20 8번,2011,,,,,computer-system-engineer
WRITTEN_CBT,컴퓨터 프로그래밍,시스템 프로그래밍에 가장 적합한 언어는?,C,COBOL,BASIC,FORTRAN,1,,,,medium,,컴퓨터시스템기사|필기|기출|A계보|전자계산기 프로그래밍,전자계산기조직응용기사 2020-08-22 20번,2020,,,,,computer-system-engineer
WRITTEN_CBT,컴퓨터 프로그래밍,작성된 표현식이 BNF의 정의에 의해 바르게 작성되었는지 를 확인하기 위하여 만든 트리는?,parse tree,menu tree,king tree,home tree,1,,,,medium,,컴퓨터시스템기사|필기|기출|A계보|전자계산기 프로그래밍 2과목 : 자료구조 및 데이터통신,전자계산기조직응용기사 2018-08-19 12번,2018,,,,,computer-system-engineer
