exam_type,category,prompt,choice1,choice2,choice3,choice4,correct_answer,model_answer,key_points,explanation,difficulty,image_url,tags,source,source_year,reference_text,code_snippet,code_language,image_urls,certificate_id
WRITTEN_CBT,임베디드 하드웨어,임베디드 하드웨어 전원에 대한 설명으로 옳지 않은 것은? [완전 신출],OS는 시스템 부하에 따라 idle모드와 sleep모드로 변경한다.,"어댑터는 AC 110V 혹은 220V의 전원을 DC 8, 11, 22V등의 가정용 저전압으로 변환하는 장치이다.",전압 레귤레이터는 ON/OFF 과정을 통해 일정한 평균전압을 일정 범위 내 원하는 전압으로 변환하는 기능을 수행한다.,리눅스가 지원하는 전원 관리 표준은 APM과 ACPI가 있다.,3,,,선후관계가 반전되었다. 레귤레이터는 일정 범위 내 DC 전압을 일정한 DC전압으로 변환하는 장치이다.,medium,,임베디드 기사|필기|기출,임베디드기사 2025-08-01 문제 1,2025,,,,,embedded-engineer
WRITTEN_CBT,임베디드 하드웨어,USB에 관한 설명으로 옳지 않은 것은? [완전 신출],접지되는 부분의 마모로 인식에 한계가 존재한다.,핫 플러그를 지원하여 컴퓨터에 전원이 켜져 있는 상태에서도 바로 연결할 수 있다.,USB는 64개의 주변 기기를 지원하며 자체 220V 전원을 공급할 수 있다.,USB 3.0버전은 최대 5Gbps의 속도를 지원한다.,3,,,"USB는 명칭 그대로 직렬 포트이므로 이론상 한 PC에 127개까지만 인식이 가능하다. 또한, 상식적으로 생각해봐도 USB가 220V의 전원을 공급한다면 USB만으로도 컴퓨터가 부팅이 가능한데 이건 말이 안된다. USB는 +5V의 전원을 공급한다.",medium,,임베디드 기사|필기|기출,임베디드기사 2025-08-01 문제 2,2025,,,,,embedded-engineer
WRITTEN_CBT,임베디드 플랫폼,리눅스의 물리적 공간을 논리적으로 나눌 때 최대 몇 개의 파티션으로 나눌 수 있는가? [완전 신출],12개,5개,1개,10개,1,,,"리눅스는 프라이머리 3개, 확장파티션 1개, 논리파티션 12개로 총 16개의 파티션으로 나눌 수 있다.",medium,,임베디드 기사|필기|기출,임베디드기사 2025-08-01 문제 3,2025,,,,,embedded-engineer
WRITTEN_CBT,임베디드 소프트웨어,"A,B,C,D의 데이터를 C,D,A,B 순서대로 결과값을 얻고자 할 때 push와 pop을 수행한 순서로 옳은 것은? [기출변형]",pop-pop-push-push-pop-pop-push-push,pop-pop-push-push-pop-push-pop-push,push-push-pop-pop-push-push-pop-pop,push-push-pop-pop-push-pop-push-pop,3,,,"일단, C,D를 얻기 위해서는 A를 PUSH하고 B를 PUSH하므로 1,2번은 소거되고, A,B가 남은 상태에서 1번 PUSH하면 B,A가 되고, 여기서 다시 PUSH하면 A,B가 되므로 3번이 정답이다.",medium,,임베디드 기사|필기|기출,임베디드기사 2025-08-01 문제 4,2025,,,,,embedded-engineer
WRITTEN_CBT,임베디드 소프트웨어,다음 설명에 해당하는 객체 지향 분석 방법으로 옳은 것은? [2013년 70번 기출 심화 응용],Coad와 Yourdon의 객체 지향 분석,Booch의 객체 지향 분석,Rambaugh의 객체 지향 분석,Jacobson의 객체 지향 분석,2,,,"성안당 2013 임베디드기사 p.416의 설명을 보기로 그대로 전부 주고 맞추라는 식으로 기출보다 상당히 심화버전의 문제이다. 이 문제가 있다는 것은 다른 객체지향 분석에 대한 문제도 문제은행에 있다는 반증이니 1,3,4번 선지에 대한 특징도 전부 정리해야 할 것이다.",medium,,임베디드 기사|필기|기출,임베디드기사 2025-08-01 문제 5,2025,"✼ 문제를 정의한다.(요구사항 분석)
✼ 비공식 전략을 개발한다.(문제 해결을 위해 무엇을 행하여야 하는가?)
✼ 전략을 공식화한다.
✼ 설계가 모두 이루어질 때까지 문제 정의, 비공식 전략 개발, 전략의 공식화를 반복 적용한다.
✼ 클래스와 객체를 구현한다.
✼ 프로그램의 구성요소는 명세 부분과 외부로부터 감추어진 부분(사각형)으로 표시한다.
✼ 구름 모양은 개별 구분 또는 정의되지 않은 구현 상세를 나타낸다.
✼ 둥근 사각형은 자료 객체, 직사각형은 객체 연산을 나타낸다.
✼ 미시적, 거시적 프로세스를 모두 사용하는 분석하는 방법이다.",,,,embedded-engineer
WRITTEN_CBT,임베디드 하드웨어,RS-232의 PIN 번호의 기능과 표기에 관한 연결로 옳지 않은 것은? [완전 신출],데이터 단말 준비-DCD,송신 데이터-TXD,데이터 세트 허가-DSR,송신 허가-CTS,1,,,"RS232 9핀 신호체계는 다음과 같다. 즉, DCD는 데이터 단말 준비가 아닌 데이터 캐리어 검출에 해당한다.",medium,,임베디드 기사|필기|기출,임베디드기사 2025-08-01 문제 6,2025,,,,,embedded-engineer
WRITTEN_CBT,임베디드 하드웨어,다음 논리회로의 명칭은 무엇인가? [완전 신출],기수 패리티 발생 회로,비교기,병렬 가감산기,전가산기,3,,,"인터넷에 비슷한 사진 자체부터가 아예 없어서 직접 그렸다. 정확한 복원을 위해 깔끔하지 못하게 그렸으니 양해의 말씀을... 각설하고 해설하면, 얼핏보면 비교기 같이 보이나, 비교기는 F3부분 B부분에 NOT게이트가 하나 더 붙어야 하고, F4가 없어야 한다. 잘 보면 반가산기와 반감산기를 병렬로 연결한 형태임을 알 수 있다. 전가산기야 다들 잘 알 테니 설명은 생략하고, 기수 패리티 발생회로와 우수 패리티 발생회로는 사진을 보고 필히 숙지할 것!",medium,/static/images/Engineer_Embedded/20250801/rId8.png,임베디드 기사|필기|기출,임베디드기사 2025-08-01 문제 7,2025,,,,,embedded-engineer
WRITTEN_CBT,임베디드 소프트웨어,블랙 박스 테스트에 대한 설명으로 옳지 않은 것은? [22년 기출 변형],"기초적 모델 관점과 데이터, 입출력 위주의 검사 방법으로, 기능검사이다.",경계값 검사는 경계 근처의 입력값의 오류 가능성을 테스트 하는 방법이다.,원시 프로그램과 상관없이 결과만 옳으면 검사를 통과하는 방법이다.,프로그램 원시 코드의 논리적 구조를 커버하도록 테스트 케이스를 설계한다.,4,,,"4번은 화이트박스 테스트에 대한 설명이다. 기존에는 검사 방법으로 옳지 않은 문제를 고르는 문제였으나, 설명을 주고 옳지 않은 것을 고르는 문제가 문제은행에 추가된 것으로 보아 각 테스트에 대한 특징을 모두 숙지해야 할 것으로 생각된다.",medium,,임베디드 기사|필기|기출,임베디드기사 2025-08-01 문제 8,2025,,,,,embedded-engineer
WRITTEN_CBT,임베디드 플랫폼,"OSI-7계층에서 실제 회선의 연결을 확립, 유지, 단절하기 위한 기계적, 전기적, 기능적, 절차적 특성을 정의하는 계층은? [완전 신출-하지만 쉬운 편]",물리 계층,전송 계층,데이터링크 계층,표현 계층,1,,,,medium,,임베디드 기사|필기|기출,임베디드기사 2025-08-01 문제 9,2025,,,,,embedded-engineer
WRITTEN_CBT,임베디드 플랫폼,유닉스 표준 시그널에서 시그널의 명칭과 발생 및 용도를 짝지은 것으로 옳지 않은 것은? [완전 신출],SIGTSTP는 CTRL+Z로 생성하여 터미널을 정지시키는 문자이다.,SIGHUP는 터미널에서 접속이 끊겼을 때 CTRL+Q로 프로세스를 재시작한다.,SIGINT는 CTRL+C로 실행을 중지시키는 문자이다.,SIGQUIT는 CTRL+⧹로 종료 요청과 함께 코어 덤프를 생성한다.,2,,,"SIGHUP는 Hangup 시그널로 전화선이 끊어졌을 때 발생한다. 즉, 디폴트 액션은 종료를 취하며, 변화된 내용을 적용하기 위해 재시작할 때 사용하며, 입력 명령어는 따로 존재하지 않는다. 또한, CTRL+Q라는 단축키는 존재하지도 않는다.",medium,,임베디드 기사|필기|기출,임베디드기사 2025-08-01 문제 10,2025,,,,,embedded-engineer
