"exam_type","category","prompt","choice1","choice2","choice3","choice4","correct_answer","model_answer","key_points","explanation","difficulty","image_url","tags","source","source_year","reference_text","code_snippet","code_language","image_urls","certificate_id"
"WRITTEN_CBT","시스템 보안","디스크 스케줄링 알고리즘중엘리베이터 알고리즘 이라고 불리는 기법은?","SCAN","SSTF","C-SCAN DFCFS","","1","","","SCAN은엘리베이터 알고리즘이라고불리며현재 헤드의 위치에서 진행 방향이결정되면 탐색거리가 짧은 순서에 따라그방향의 모든요청을서비스하고 끝까지 이동한 후역방향의 요청 사항을 서비스하는 기법이다.","medium","","정보보안기사|필기|기출|지피지기 기출문제|2023년|1회|시스템 보안","2026 수제비 정보보안기사 필기 기본서 · 지피지기 기출문제 · PDF 37쪽 (인쇄 1-18) · 4번","2023","","","","","information-security-engineer"
"WRITTEN_CBT","시스템 보안","다음중운영체계 5계층이 순서대로나열된 것은? 파일관리 ©주변장치관리 ©프로세서관리","메모리관리 ©프로세스관리","-ㄴ-C-","-1","-C--","3","","","운영체제계층 프메 프로세서관리/메모리관리/프로세스 프주파 관리/주변장치관리/파일관리 25년1회","medium","","정보보안기사|필기|기출|지피지기 기출문제|2025년|1회|시스템 보안","2026 수제비 정보보안기사 필기 기본서 · 지피지기 기출문제 · PDF 39쪽 · 9번","2025","","","","","information-security-engineer"
"WRITTEN_CBT","시스템 보안","운영체제의 운영기법중동시에프로그램을수행할 수있는CPU를2개 이상두고각각그업무를 분담 하여 처리할수있는 방식을의미하는것은?","시분할처리시스템","실시간처리시스템","다중처리시스템","다중프로그래밍시스템","2","","","다중처리 시스템은둘이상의 CPU를이용하여 병렬로처리하는 시스템이다. 다중 프로그래밍 시스템은 하나의 주기억장치에 여러 개의 프로그램을 상주한 후에 하나의 CPU와 대화식으로 동시에 처리하는 시스템이다 25년2회","medium","","정보보안기사|필기|기출|지피지기 기출문제|2025년|1회|시스템 보안","2026 수제비 정보보안기사 필기 기본서 · 지피지기 기출문제 · PDF 40쪽 (인쇄 1-21) · 11번","2025","","","","","information-security-engineer"
"WRITTEN_CBT","시스템 보안","다음중Apple 디바이스를위한 ioS 프로그램을개 발하는 IDE 도구는 무엇인가?","Logcat","Visual Studio","Xcode","Android Studio","3","","","Xcode는 애플(Apple)에서 공식 제공하는iOS 및 macOS 애플리케이션 개발을 위한 통합 개발 환경(IDE)이다. Swift 및 Objective-C를 사용하여 iPhone, iPad,Mac, Apple Watch, Apple TV 애플리케이션을개발할수 있다.","medium","","정보보안기사|필기|기출|지피지기 기출문제|2025년|4회|시스템 보안","2026 수제비 정보보안기사 필기 기본서 · 지피지기 기출문제 · PDF 40쪽 (인쇄 1-21) · 13번","2025","","","","","information-security-engineer"
"WRITTEN_CBT","시스템 보안","다음 중 운영체제5계층에 포함되지않는 것은?","메모리관리","주변장치관리","파일관리","사용자관리","1","","","운영체제계층 프메 프로세서관리/메모리관리/프로세스 프주파 관리/주변장치 관리/파일관리","medium","","정보보안기사|필기|예상|천기누설 예상문제|시스템 보안","2026 수제비 정보보안기사 필기 기본서 · 천기누설 예상문제 · PDF 42쪽 (인쇄 1-23) · 6번","","","","","","information-security-engineer"
"WRITTEN_CBT","시스템 보안","다음보기의프로세스스케줄링방식중비선점형스 케줄링만 고른 것은? ⑦FCFS ©RR ©SRT","SJF",", ㄴ",", 2","©, 2","2","","","비선점스케줄링알고리즘 HFS HRN/ FCFS(=FIFO) / SJF","medium","","정보보안기사|필기|예상|천기누설 예상문제|시스템 보안","2026 수제비 정보보안기사 필기 기본서 · 천기누설 예상문제 · PDF 42쪽 (인쇄 1-23) · 8번","","","","","","information-security-engineer"
"WRITTEN_CBT","시스템 보안","다음중프로세스와관련된설명으로가장거리가먼 것은?","운영체제는프로세스를관리하기위해프로세 스제어블록(PCB)에중요한 정보를 저장한다.","하나의 프로세스는생성, 실행, 준비,대기,종 료의상태변화를거치게 된다.","프로세스는스스로자원을요청하고이를할당 받아사용하는능동적인개체를의미한다.","스레드는프로세스보다큰단위이며,자원의 할당에는관계하지않고프로세서스케줄링의 단위로써사용하게 된다.","4","","","스레드는 프로세스보다 가법고 독립적으로 수행되는 순차적인제어의 흐름이자 실행 단위이다. 스레드는프로세스에서실행제어만 분리한실행 단위로한개의 프로세스는 여러 개의 스레드를가질 수 있다.","medium","","정보보안기사|필기|예상|천기누설 예상문제|시스템 보안","2026 수제비 정보보안기사 필기 기본서 · 천기누설 예상문제 · PDF 43쪽 (인쇄 1-24) · 12번","","","","","","information-security-engineer"
"WRITTEN_CBT","시스템 보안","다음의메모리관리기법중고정크기의블록으로 할당하는방식과 가변크기의블록으로할당하는방 식은 무엇인가?","정적할당영역,동적할당영역","힙,스택","논리주소공간,물리주소공간","페이징기법,세그먼테이션기법","4","","","• 가상기억장치 내의 프로세스를 일정하게분할하여주기억장치의 페이징기법 분산된공간에 적재시킨후 프로세스를수행시키는 기법 가상기억장치 내의 프로세스를 세그먼테이션 가변적인크기의블록으로나누고 기법 메모리를할당하는기법","medium","","정보보안기사|필기|예상|천기누설 예상문제|시스템 보안","2026 수제비 정보보안기사 필기 기본서 · 천기누설 예상문제 · PDF 44쪽 (인쇄 1-25) · 13번","","","","","","information-security-engineer"
"WRITTEN_CBT","시스템 보안","다음은세마포어(Semaphore)를사용하여 임계구 역을 구현한 것이다.P(S)와 V(S)에 대한 설명으로 옳은 것은? /세마포어변수S의 초기값을1로설정"" semaphore S =new semaphore(1): /두프로세스를초기화하고시작/ startprocess); 프로세스Px void mainO while(ldone){ P(S) //임계구역코드 VS); «임계구역외부코드 } }","P(S) : If S = O Then S = S-1 Else 대기","V(S) :S = S+2","P(S) : If S > OThen S = S-1 Else 대기","V(S) : S = S-2","3","","","P(S) 연산은 세마포어 값이 0이면 대기하다가. 세마포어 값이 0보다 크면 세마포어값을1 감소시키고 임계 구역 실행하고, V(S) 연산은 임계 구역을 마치고 세마포어 값을 1 증가시킨다","medium","","정보보안기사|필기|예상|천기누설 예상문제|시스템 보안","2026 수제비 정보보안기사 필기 기본서 · 천기누설 예상문제 · PDF 44쪽 (인쇄 1-25) · 15번","","","","","","information-security-engineer"
"WRITTEN_CBT","시스템 보안","윈도우개요 (1)원도우(Windows) 개념 원도우는개인용컴퓨터(PC)의 운영을위하여 마이크로소프트가 개발한컴 퓨터 운영체제이다. 1981년1.0 등장이후3.1부터 많이 알려졌으며, 9x, XP 계열을 거쳐 현재 Windows 11까지 개발한다. (2) 원도우 특징 [22년1회] 윈도우특징 특징 다양한버전 유형의 버전 GUI 환경 쉽게사용 하드웨어를새롭게 추가하는경우자동으로인식하여환경을 Plug & Play 설정해 주는 기능 해당하드웨어가Plug&Pay 기능을지원하는장치 단축아이콘 (Short Cut) 원하는위치에 원본파일을연결하는아이콘 멀티 태스킹 (Multi-Tasking) 빠른전환가능 OLE(Object Linking Embedding) 네트워크기능 인터넷연결등이편리 다중모니터 지원 한 대의컴퓨터에 최대8대의 모니터를연결하여사용 ·두 개 또는그 이상의 응용 프로그램에서 작업하여상호간에 정보의 전송 통합 정보를한응용프로그램으로부터 다른응용 프로그램으로 전송하고 통합할 수있음 (3) 원도우명령어 및도구","net 명령어[22년4회] net 명령어는 기본적으로NetBIOs를사용하는명령어이다. net 명령어는다음과같다.","","","","","","","","medium","","정보보안기사|필기|예상|천기누설 예상문제|시스템 보안","2026 수제비 정보보안기사 필기 기본서 · 천기누설 예상문제 · PDF 46쪽 (인쇄 1-27) · 1번","","","","","","information-security-engineer"
